DEBUG   |170221 05:41:17|-- Loading filter Multidb
DEBUG   |170221 05:41:17|-- Loading filter Regextables
DEBUG   |170221 05:41:17|-- Loading filter Tabledata
DEBUG   |170221 05:41:17|-- Loading filter Skipdirs
DEBUG   |170221 05:41:17|-- Loading filter Tables
DEBUG   |170221 05:41:17|-- Loading filter Extradirs
DEBUG   |170221 05:41:17|-- Loading filter Skipfiles
DEBUG   |170221 05:41:17|-- Loading filter Directories
DEBUG   |170221 05:41:17|-- Loading filter Files
DEBUG   |170221 05:41:17|-- Loading filter Regexskipdirs
DEBUG   |170221 05:41:17|-- Loading filter Excludefiles
DEBUG   |170221 05:41:17|-- Loading filter Excludetabledata
DEBUG   |170221 05:41:17|-- Loading filter Cvsfolders
DEBUG   |170221 05:41:17|-- Loading filter Joomlaskipfiles
DEBUG   |170221 05:41:17|-- Loading filter Siteroot
DEBUG   |170221 05:41:17|-- Loading filter Excludefolders
DEBUG   |170221 05:41:17|-- Loading filter Libraries
DEBUG   |170221 05:41:17|-- Loading filter Sitedb
DEBUG   |170221 05:41:17|-- Loading filter Systemcachefiles
DEBUG   |170221 05:41:17|-- Loading filter Joomlaskipdirs
DEBUG   |170221 05:41:17|Loading optional filters
DEBUG   |170221 05:41:17|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170221 05:41:17|-- Loading optional filter Stack\StackHoststats
DEBUG   |170221 05:41:17|-- Loading optional filter Stack\StackFinder
DEBUG   |170221 05:41:17|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |170511 16:41:35| -- Resetting Akeeba Engine factory (backend.id28)
DEBUG   |170511 16:41:35|Fetching filter data from database
DEBUG   |170511 16:41:35|Loading filters
DEBUG   |170511 16:41:35|-- Loading filter Regextabledata
DEBUG   |170511 16:41:35|-- Loading filter Regexdirectories
DEBUG   |170511 16:41:35|-- Loading filter Regexskipfiles
DEBUG   |170511 16:41:35|-- Loading filter Incremental
DEBUG   |170511 16:41:35|-- Loading filter Regexfiles
DEBUG   |170511 16:41:35|-- Loading filter Multidb
DEBUG   |170511 16:41:35|-- Loading filter Regextables
DEBUG   |170511 16:41:35|-- Loading filter Tabledata
DEBUG   |170511 16:41:35|-- Loading filter Skipdirs
DEBUG   |170511 16:41:35|-- Loading filter Tables
DEBUG   |170511 16:41:35|-- Loading filter Extradirs
DEBUG   |170511 16:41:35|-- Loading filter Skipfiles
DEBUG   |170511 16:41:35|-- Loading filter Directories
DEBUG   |170511 16:41:35|-- Loading filter Files
DEBUG   |170511 16:41:35|-- Loading filter Regexskipdirs
DEBUG   |170511 16:41:35|-- Loading filter Excludefiles
DEBUG   |170511 16:41:35|-- Loading filter Excludetabledata
DEBUG   |170511 16:41:35|-- Loading filter Cvsfolders
DEBUG   |170511 16:41:35|-- Loading filter Joomlaskipfiles
DEBUG   |170511 16:41:35|-- Loading filter Siteroot
DEBUG   |170511 16:41:35|-- Loading filter Excludefolders
DEBUG   |170511 16:41:35|-- Loading filter Libraries
DEBUG   |170511 16:41:35|-- Loading filter Sitedb
DEBUG   |170511 16:41:35|-- Loading filter Systemcachefiles
DEBUG   |170511 16:41:35|-- Loading filter Joomlaskipdirs
DEBUG   |170511 16:41:35|Loading optional filters
DEBUG   |170511 16:41:35|-- Loading optional filter Stack\StackErrorlogs
DEBUG   |170511 16:41:35|-- Loading optional filter Stack\StackHoststats
DEBUG   |170511 16:41:35|-- Loading optional filter Stack\StackFinder
DEBUG   |170511 16:41:35|-- Loading optional filter Stack\StackMyjoomla
DEBUG   |170521 02:20:56| -- Resetting Akeeba Engine factory (backend.id29)
DEBUG   |170521 02:20:56|Fetching filter data from database
DEBUG   |170521 02:20:56|Loading filters
DEBUG   |170521 02:20:56|-- Loading filter Regextabledata
DEBUG   |170521 02:20:56|-- Loading filter Regexdirectories
DEBUG   |170521 02:20:56|-- Loading filter Regexskipfiles
DEBUG   |170521 02:20:56|-- Loading filter Incremental
DEBUG   |170521 02:20:56|-- Loading filter Regexfiles
